hour,Row_Distance,ColperSCA,W_aperture,L_SCA,best_fitness
1,5.0,8,9.910708521983885,62.412948962453186,-30.71626757181025
2,12.576262302050175,2,8.967605093067897,42.97313030972796,-29.585847202801197
3,5.9788436224026595,3,8.27068871758085,62.412948962453186,-31.578237713449635
4,12.576262302050175,2,8.967605093067897,42.97313030972796,-29.42283658714514
5,13.780437457731862,3,8.143759196712686,65.54779880765416,-39.1552605146685
6,5.0,4,9.910708521983885,62.412948962453186,-33.863472049892984
7,12.576262302050175,2,8.967605093067897,42.97313030972796,-34.57992261014074
8,11.42791766245793,2,8.967605093067897,42.97313030972796,-43.05350859521129
1,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.64270049969894
2,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.89455811361052
3,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.879846287762284
4,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.69414724964496
5,5.0,8,9.910708521983885,62.412948962453186,-31.96250505616557
6,12.576262302050175,2,8.967605093067897,42.97313030972796,-32.36970649082569
7,13.780437457731862,3,8.143759196712686,65.54779880765416,-44.31562776733719
8,13.780437457731862,3,8.143759196712686,65.54779880765416,-54.14481202429983
9,5.0,8,8.27068871758085,62.412948962453186,-56.30469764516785
10,5.7454452631132185,10,9.09453461393606,87.58054420501105,-70.373251123188
11,13.780437457731862,2,1.0286256754926746,61.37531742680663,1751.6649175876678
12,12.576262302050175,4,1.0286256754926746,80.81513607953185,2719.8652151967894
13,12.576262302050175,4,1.0286256754926746,80.81513607953185,2492.128714674078
14,9.927001601912638,3,8.27068871758085,62.412948962453186,-62.922787425488885
15,5.0,8,9.910708521983885,80.81513607953185,-70.17934148638463
16,7.990357736315511,8,9.92868591405052,89.56620208111866,-87.52091249546517
17,5.9788436224026595,3,8.967605093067897,62.412948962453186,-51.894537771626105
18,5.229329724295677,10,6.714999463642486,87.58054420501105,-55.23089232962601
19,5.77619244704973,10,7.698464581785015,87.58054420501105,-56.04861529545315
20,5.0,3,10.0,62.412948962453186,-39.04989149270977
21,5.0,8,9.910708521983885,62.412948962453186,-36.01240847999596
22,8.240215218408542,2,8.967605093067897,42.97313030972796,-35.17633571351593
1,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.64270049969894
2,5.0,8,10.0,80.81513607953185,-37.03704320646086
1,5.0,8,9.794127842942347,78.82947820342424,-36.129541666936326
1,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.64270049969894
2,13.780437457731862,3,8.143759196712686,65.54779880765416,-37.89455811361052
1,5.0,8,9.910708521983885,62.412948962453186,-30.71626757181025
1,13.554926347053097,7,9.179456708924812,60.516381544734294,-35.82646113533722
1,13.554926347053097,9,10.0,60.516381544734294,-35.8249136696593
1,13.208523928761498,9,9.179456708924812,46.24049243179749,-30.88484285561417
1,14.77590664161744,6,8.35303473894946,63.01618974606036,706380.1232940123
1,14.77590664161744,7,5.530544548399426,146.28177617172057,735121.0222454414
1,14.77590664161744,7,5.530544548399426,146.28177617172057,735121.0222454414
1,75.60502588109406,96.38446453577174,-267.0451836990664
2,75.60502588109406,96.38446453577174,-265.4471327820576
3,93.61799662497077,38.6121004350977,-261.688890155473
4,75.60502588109406,96.38446453577174,-257.51031806811164
5,93.61799662497077,38.6121004350977,-264.07066196300053
6,75.60502588109406,96.38446453577174,-273.69063753998256
7,69.92298961958113,59.11553971686621,-288.6134091751234
8,75.63019776060045,120.55313380105407,-2582.5441900714327
9,69.51581049248557,123.53515033372452,-11543.480334374983
10,69.51581049248557,123.53515033372452,-24516.835016208785
11,93.61799662497077,38.6121004350977,-14011.609648111165
12,93.61799662497077,46.60180221457592,-14321.607087897917
13,92.90100177550428,96.38446453577174,-14108.989694738735
14,92.90100177550428,96.38446453577174,-1356.1291598350085
15,93.61799662497077,38.6121004350977,-29752.18082777264
16,93.61799662497077,96.38446453577174,-1413.8440631291712
17,92.90100177550428,96.38446453577174,-12261.169745114717
